# chapter|source page index|word|three targeted distractors, separated by slash
0|1|約|事先訂下的約定/節省財物/約束別人的行為
0|1|安仁|住在仁者的家中/只求自己的生活安逸/因別人獎賞才行仁
0|1|知|僅指知道別人的姓名/通知他人/與仁德無關的見聞數量
0|1|利仁|只借仁德謀取眼前私利/有利於傷害仁者/完全不認同行仁的價值
0|2|道|行走的道路/說話的聲音/個人的喜好
0|2|處|居住的處所/處罰他人/處理爭端
0|2|去仁|前往仁者家中/得到仁德/讚揚仁德
0|2|終食之間|整個人的一生/一年收成的時間/停止吃飯後很久
0|2|造次|製造第二件物品/依次排列/精心準備之後
0|2|顛沛|生活平穩順遂/居於高位享受榮華/行事故意顛倒次序
0|3|克|戰勝敵國/刻畫文字/增加私欲
0|3|復|報復別人/重複別人的話/恢復個人的財富
0|3|一日|一天的二十四小時/某個過去的日子/每天一次
0|3|歸|回到家鄉/歸還財物/歸罪於別人
0|3|由|任憑私欲/事情的原因/從某地方出發
0|3|目|眼睛/觀看/使人注目
0|3|事|侍奉孔子本人/所發生的事情/挑起爭端
0|4|害|害怕/利益/妨礙出行
0|4|成仁|獲得世人的名聲即可/只求保住自己的性命/使所有人都服從自己
0|5|無違|父母一切要求都必須照辦/不離開父母身邊/不違反駕車的路線
0|5|御|抵禦敵軍/皇帝親自使用/統治國家
0|5|事|實踐四勿的言語/事情的經過/從事讀書
0|6|敬|只供給衣食/使父母畏懼自己/向犬馬行禮
0|6|何以|為甚麼人/到甚麼地方/在甚麼時候
0|7|幾諫|多次大聲斥責/隱瞞父母過錯/完全不作勸說
0|7|又|才剛開始/從未/另外一人
0|7|勞|體力勞動/功勞/獎勵
0|8|懼|害怕父母知道自己的年齡/因父母長壽而嫉妒/擔心不能獲得財產
0|9|重|身體肥重/重複/職位尊貴
0|9|無|沒有朋友/毫無能力/不論是誰
0|9|憚|容易/憎恨他人/等待時機
0|10|坦蕩蕩|住處廣大/說話毫無節制/炫耀自己財富
0|10|戚戚|親戚很多/經常慶祝/威儀莊重
0|11|內省|查看屋內/減少開支/反省別人的過失
0|11|疚|身體患病/妒忌/憤怒
0|12|美|外貌美麗/精美服飾/美味食物
0|13|恥|使別人羞恥/憎恨別人的話/把羞恥視為光榮
0|13|過|過錯/經過某處/過去的時間
0|14|質|物品的質量/用作抵押的人/華麗的外表
0|14|孫|子女的下一代/順從一切要求/姓孫的人
0|15|病|疾病/傷害他人/責怪別人不賞識
0|16|諸|眾多的/之乎的合音/只表示疑問語氣
8|1|謫|升官/辭官隱居/按時巡查
8|1|守|看守一扇門/保守秘密/保留原物
8|1|具|工具/具體的形狀/準備行裝
8|1|制|制度法令/裁製衣服/控制情緒
8|1|屬|屬於/親屬/連續不斷
8|2|勝狀|戰勝敵軍的情況/勝利的獎狀/訴訟文書
8|2|浩浩湯湯|食物熱湯翻滾/河水清淺平靜/道路延伸曲折
8|2|暉|月光/陰影/雨霧
8|2|備|防備/準備兵器/具備資格
8|2|極|窮盡歡樂/最南端的地名/非常疲倦
8|2|遷客|一般搬家的人/遠遊的商人/前來祝賀的賓客
8|2|騷人|行為騷擾別人的人/搬運行李的人/守衛城池的人
8|3|霪雨|短暫的陣雨/雨後的彩虹/秋日的露水
8|3|開|開門/開花/開設店舖
8|3|陰|陰影/秘密地/山的北面
8|3|排空|完全排除/排列空位/清理房間
8|3|檣|船槳/船底/船帆上的圖案
8|3|楫|桅杆/車輪/橋樑
8|3|薄|厚度小/輕視/草木稀少
8|3|去|前往/留在/返回
8|3|國|整個國家疆域/故鄉村落/外國
8|3|讒|正面稱讚/坦誠勸告/驚恐呼喊
8|4|景|風景/影子/景仰
8|4|驚|驚嚇旅客/吃驚/驚醒睡夢
8|4|集|集合詩文/持續飛翔/收集財物
8|4|汀|山頂平地/水底深潭/廣大海洋
8|4|或|或許/有人/或者二選一
8|4|璧|牆壁/金塊/玻璃
8|4|極|到達瀟湘/非常寒冷/地理上的南端
8|4|把|把某物處置的介詞/把守城門/成束的數量詞
8|4|臨|靠近危險邊緣/將要發生/統治百姓
8|5|求|要求別人/求取金錢/責求功名
8|5|或|有時/有人/或者選其一
8|5|為|實行仁德/替別人做事/因為
8|5|廟堂|祭祀祖先的私人廟宇/寺院佛堂/修築樓臺的工地
8|5|微|微小/輕微/隱約
8|5|歸|回家/歸還物品/歸咎於人
10|1|空|完全沒有人居住/心中空虛失落/山上已無草木
10|1|新|嶄新的物品/新奇/更新改造
10|1|晚|晚於約定時間/晚輩/很久以後
10|1|清|寂靜無聲/清理乾淨的動作/清高的品格本身
10|2|喧|安靜/驚恐/爭鬥
10|2|歸|歸依同道/歸還財物/出門遠行
10|2|浣|採蓮/捕魚/砍柴
10|2|下|沉入水底/離開船隻/逆流而上
10|2|隨意|漫不經心地做事/跟着自己的意思亂行/隨即打算
10|2|春芳|春天的香氣本身/春天的女子/初春的雨水
10|2|歇|休息片刻/停止說話/風停下來
10|2|王孫|此處實指王室子孫/路過的官員/遠方的朋友
10|2|自|從某地方/親自動手/自私
