# e|p|block|row(-1=text)|original-page|exact original quote|target|stem|correct|three specific alternatives
2|6|0|1|1|舍魚而取熊掌者也|魚熊掌類比|開首先談魚與熊掌，如何支持下文？|從熟悉取捨類推不可兼得時應取更可貴的義。|證明魚在任何情況都沒有價值。~原文明說魚亦所欲/詳細教授飲食烹調方法。~魚熊掌服務道德說理/表明生命和義可隨時同得。~二者不可得兼是類推條件
2|6|0|2|1|所欲有甚於生者|兩面說理|「所欲」與「所惡」兩面共同確立甚麼？|求生避死之外，仍有更高的道義界限。|求生與避死是最高而唯一原則。~有所欲惡甚於生死/人完全沒有求生欲望。~生亦我所欲/只談死亡而從未談生命。~兩面分別從欲生惡死立論
2|6|0|3|2|何不用也？|反設推論|假設生死是最高準則，再寫有人不如此做，有何作用？|以推論與實際有所不為相照，反證義高於生死。|證明任何求生手段都應受讚賞。~實際不用正顯道義限制/要求讀者列出所有避難工具。~問句用來說理，不是徵集工具/作者無法立論，只能留下疑問。~下文有是故的明確結論
2|6|0|4|3|行道之人弗受；蹴爾而與之，乞人不屑也|普通人的本心|用路人、乞人拒食，如何支持人人有本心？|地位卑微者也會拒受侮辱，守義不限賢者身份。|只有富人不需食物才可守義。~所舉恰是救命食物與低微者/乞人天生高於所有賢者。~例證本心普遍，不作全人品排名/路人因食物不夠名貴而拒食。~拒的是呼喝踐踏侮辱，不是食材
2|6|0|5|4|此之謂失其本心|本心失守|「失其本心」是怎樣由前文推出的？|昔能守義今為利益不辨禮義，前後選擇矛盾。|由從前貧困而今日富有直接判罪。~財富多寡不是判斷標準/由人人沒有良心推知賢者例外。~人皆有之不允許此推論/由受辱拒食證明不重生命必是惡。~拒辱恰為守義例證
2|7|1|1|3|一簞食，一豆羹，得之則生，弗得則死|救命食與厚祿|兩種利益的分量和必要性有何反差？|少量食能救命卻拒辱；厚祿非救命必需卻有人失義受取。|厚祿必是唯一救命手段。~宮室等屬享受誘因/少量食不能維持生命。~得之則生明確相反/利益越多便必然越符合禮義。~數量不能代替道德判斷
2|7|1|2|3|萬鍾則不辯禮義而受之|身份與道德|路人乞人與受祿者的比較提醒甚麼？|不能按身份貴賤直接判定能否守義。|有俸祿者必定比乞人高尚。~受祿者反可失本心/卑微者完全沒有道德選擇。~拒受侮辱就是選擇/所有官員都絕不守義。~例證不作無例外全稱
2|7|3|1|4|今為宮室之美為之；鄉為身死而不受，今為妻妾之奉為之|排比|三組「今為……」相近句式，主要加強甚麼？|並列利益誘惑，條理清楚且集中揭露失義動機。|把三種原因混成一件偶然事件。~排比正分列動機/說明誘惑只有一種，不能增加。~原文列出三項/以聲音模仿呼喝者的喊聲。~此處重句式說理，非擬聲
2|7|3|2|4|鄉為身死而不受|反復|多次重出這句，配合今昔對照有何作用？|反覆提醒昔日守義，更凸顯今日選擇失守。|取消昔日行為，使讀者忽略它。~重出恰強調昔日/只是表示原文抄寫失誤。~反復有說理與警醒作用/反覆讚揚如今的物欲取捨。~以失本心作結屬批評
2|7|3|3|1|生亦我所欲也，義亦我所欲也|對偶|兩句結構相稱，如何為後文取捨鋪墊？|先並列生與義皆所欲，再引不可兼得時的比較。|先否定生命，後否定义。~兩句都肯定所欲/以疑問句要求读者選作者。~原句是陳述/直接交代兩種東西的價格。~道德取捨不是定價
2|7|3|4|3|萬鍾於我何加焉？|反問|此問的主要作用是甚麼？|迫使人反省失義受祿有何真正增益。|作者確實不知道俸祿數量，等待報數。~所問為道德增益/邀請讀者增加俸祿。~不是向人討取財物/表明萬鍾無條件值得接受。~語境正批評不辨禮義
2|8|0|-1|1|生亦我所欲也，義亦我所欲也|駢散交錯|整齊偶句與長短散句交錯，有何語言效果？|整齊中有變化，語勢流暢，配合層層說理。|全篇每句字數必須相同。~交錯包含長短參差/使論據之間完全失去聯繫。~風格變化不等於結構散亂/證明本篇是一首格律詩。~論說文可用偶句而非格律詩
3|6|0|1|1|青，取之於藍，而青於藍；冰，水為之，而寒於水|青冰之喻|青與冰的例子怎樣說明學習？|經後天改變可超越原有水平。|出於同一原料就永遠不能改變。~青更深冰更寒正顯改變/只要氣溫低便自然有道德。~字面自然例須類推到學習/原料比成品優越且必須保持原樣。~與例子方向相反
3|6|0|2|1|雖有槁暴、不復挺者，輮使之然也|輮木持久|再次日曬而不復直，強調加工的哪項特點？|改造效果能持久，喻學習修養形成穩定變化。|一遇日曬立即恢復原狀。~不復挺否定恢復/木輪只能暫時保持一瞬。~與持久效果相反/日曬就是輮使彎的同一動作。~輮為烘木加工，槁暴為再曬
3|6|0|3|1|故木受繩則直，金就礪則利|木金加工|校直木材與磨利刀劍，如何引向人的修養？|如加工可改善材料，博學日省能改過並通達智慧。|只要外表整齊便不需要反省。~君子仍須博學參省/木成直和輮木成曲完全矛盾所以不能說理。~兩例各說不同加工效果/學習只為製造木工工具。~木金是喻例，不是教育目的
3|6|0|4|2|吾嘗終日而思矣，不如須臾之所學也|學思比較|比較長思與短學應保留哪個界限？|強調學習助益，不能推成思考一無是處。|任何思考都應禁止。~局部比較不等於全盤否定/短時間不學比長時間求學更好。~學與思角色倒置/只要思得久便毋須借助任何條件。~下文轉善假外物
3|6|0|5|2|登高而招，臂非加長也，而見者遠|借高傳視|遠處能看見招手，是哪個條件改變？|借登高改善傳視效果，並非手臂變長。|手臂突然生長幾倍。~臂非加長/觀看者都靠近身旁。~見者遠寫遠處仍可見/招手者改用更大的聲音。~此例著眼視覺，非呼聲
3|6|0|6|2|順風而呼，聲非加疾也，而聞者彰|借風傳聲|聲量與聽者聽聞有何關係？|聲音未加大，順風仍使聽者聽得更清楚。|因喊者聲量變大才聽清。~聲非加疾明確否定/彰指聽者看得更遠。~彰此指聽覺清楚/風聲完全蓋過呼聲。~結果為聞者彰
