# key|material|stem|correct|correct reason|wrong~reason|wrong~reason|wrong~reason
0.0|自擬片段：那盞孤燈，是黑夜裏守候我的眼睛。|單就「孤燈是眼睛」的表達，以下哪項分析最恰當？|以燈比作眼睛，取兩者明亮注視之相似|本體是燈，喻體是眼睛，用「是」連接；把燈光寫成守候者的注視，突出陪伴感。|以眼睛代守候者，取身體與人的關聯~句中被描寫的是孤燈，不是用眼睛代稱某個人。|以燈代整間房屋，取部分與整體的關聯~片段沒有用燈稱整間房屋，而是建立燈與眼睛的相似。|以黑夜反襯白日，取時間前後的對照~片段沒有寫白日，所問也限定燈與眼睛的關係。
0.1|自擬片段：風踮着腳走進來，輕輕翻動桌上的信。|「踮着腳」主要運用了哪種修辭？|擬人|風被賦予人的踮腳動作，寫出風勢輕柔。|借代~「腳」不是代稱一位人物，而是把人的動作賦予風。|暗喻~此處未把風說成另一事物，而是直接賦予人的動作。|通感~片段未把一種感官詞移來寫另一感官。
0.2|自擬片段：球賽完結，看台上的紅圍巾仍不肯離去。文中先前已交代支持者都戴紅圍巾。|「紅圍巾」在這裏的修辭作用是甚麼？|借服飾代稱支持者，突出群體標誌|圍巾與佩戴者有實際關聯；「不肯離去」說的是人，屬特徵代人物。|以圍巾比喻支持者，突出外形相似~這裏依據佩戴關係替代人物，不是兩者外形相似。|把圍巾擬成人物，突出物件的感情~前文已交代服飾所指群體，語境是在代稱支持者。|以圍巾反襯球員，突出兩者的差異~沒有將支持者與球員並列比較，也未建立主陪關係。
0.3|自擬片段：全文反覆寫暴雨中仍亮着的燈，結尾說人們因它而沒有放棄等待。|若分析燈的象徵意義，以下哪項最有根據？|燈的持續光亮寄託困境中的希望|暴雨、仍亮及不放棄等待共同建立光亮與希望的聯繫。|燈的外形相似暗示等待者的面貌~材料沒有描寫人物與燈的外形相似。|燈的照明用途代稱整座發電設施~文中沒有以燈代稱設施的語境。|燈的反覆出現交代事件發生日期~反覆形象可形成意義，但片段沒有用它標記日期。
0.4|「微風過處，送來縷縷清香，彷彿遠處高樓上渺茫的歌聲似的。」|單就「清香」與「歌聲」的感官關係，哪項正確？|以聽覺寫嗅覺|歌聲屬聽覺，清香屬嗅覺；以若有若無的聲音感受形容香氣。|以嗅覺寫聽覺~被描寫的是香氣，歌聲是用來作比的感受，方向相反。|以視覺寫聽覺~高樓是空間背景，感官轉移發生在清香與歌聲之間。|以觸覺寫嗅覺~微風雖可觸知，但所問兩項是香氣與歌聲。
1.0|「朱門酒肉臭，路有凍死骨。」|若從對比分析本句，應比較哪兩方面？|富貴者食物有餘與貧困者凍餓而死|酒肉與凍死骨構成生活境況的懸殊，揭露貧富不均。|屋內陳設華美與道路景色蕭條~「朱門」指富貴之家，核心不是室內外景物的美醜。|富貴者心情愉快與行人心情悲傷~句子以生活處境作證據，未直接交代兩方心情。|白日宴飲熱鬧與夜晚道路冷清~文本沒有白日夜晚的時間對照。
1.1|自擬片段：山谷裏偶爾傳來一聲鳥鳴，隨後更顯寂靜。|以下哪項準確說明襯托關係？|以短暫鳥鳴反襯山谷寂靜|主體是谷中寂靜，鳥鳴是陪襯；聲音與靜形成反差，故為反襯。|以山谷寂靜反襯鳥鳴響亮~顛倒主陪；「更顯寂靜」明確指出要突出的特徵。|以短暫鳥鳴正襯山谷寂靜~聲與靜性質相反，不能在這裏判為正襯。|以山谷寂靜正襯鳥兒活潑~片段未以鳥兒性格為重點，也沒有足夠動作證據。
1.2|「白髮三千丈，緣愁似个長。」|「三千丈」最主要表達甚麼？|以誇大的長度強化愁苦之深|白髮長度被誇大，與「愁」連接，外化主觀感受。|以精確的長度證明年歲之高~修辭數量不是實測年齡或長度資料。|以漫長的路程交代漂泊之遠~「三千丈」修飾白髮，並非記述旅程。|以頭髮的數量顯示身體之健~句子寫白髮之長並連於愁苦，非健康的證据。
1.3|自擬情境：同學把分內工作推給別人，敘述者說：「你可真會照顧大家啊！」|這句話的表達特點是甚麼？|用表面稱讚表達實際責備|推卸工作與「照顧大家」相反；反差構成褒詞貶用的反語。|用直接責備說明工作安排~字面是稱讚，責備須結合前文還原，並非直接說出。|用疑問語氣請對方補充理由~原句沒有尋求理由的問句結構。|用誇大數量突出分工不均~句中沒有將數量或程度言過其實。
1.4|「東邊日出西邊雨，道是無晴卻有晴。」|「晴」字的雙關應如何解釋？|表面說晴雨，內裏說有情無情|「晴」與「情」同音，使天氣與感情兩層意思同時成立。|表面說晴雨，內裏說路程遠近~片段未建立天氣與路程的雙層語義。|前句說有情，後句改說季節冷暖~雙關兩義共同作用，並非前後各換一個無關題目。|前句寫實景，後句專指字音押韻~押韻不能代替對「情」這層意思的解釋。
2.0|自擬片段：怎樣使討論有效？先聽清對方的理由，再提出自己的證據。|這裏先問後答主要有甚麼作用？|引起思考，帶出下文的方法|問句提出討論問題，後句給方法，屬設問自答。|強烈否定，指出討論沒有成效~問句不是否定討論成效，後句正在提出改進方法。|請求回覆，等待讀者提供資料~作者已隨即作答，不是等待資料的實際提問。|製造懸念，把答案留到篇末~答案就在下一句，沒有延宕至篇末。
2.1|「做工苦，難道不做工就不苦嗎？」|將這句反問還原為陳述，哪項最準確？|不做工也有苦處|反問否定「不做工就不苦」的想法，並不否認做工有苦。|做工比不做工更苦~句子未比較兩者苦的程度，只指出不做工也苦。|不做工便能免去苦處~這正是反問所否定的想法。|做工能消除所有苦處~句首承認做工苦，不能推成做工可免除全部苦。
2.2|自擬片段：作者討論惜時，援引前人的詩句，再說明它與當代生活的關係。|判斷這項引用是否有效，最關鍵的是甚麼？|引文的意思能否支持所談主題|引用須與內容相連；交代出處或名聲，不能代替這種關聯。|引文的作者是否比本文作者知名~知名可增加權威感，但不保證與主題有關。|引文的字數是否超過作者的解釋~長短不是引用能否支持主題的標準。|引文是否放在每一段的開首~位置無固定要求，應看引文與論述的關係。
2.3|「可憐後主還祠廟，日暮聊為梁甫吟。」|分析「梁甫吟」用典時，哪項內容最不可缺少？|典故背景與詩人報國心志的聯繫|用典分析要連起有來歷的詞語及當下寄意，不能停在名稱辨認。|典故字數與上一句字數的比較~字數可分析格律，不能說明典故如何寄意。|典故名稱與詩題字音的相似~字音相似不是本典故的表意依據。|典故所在句與全詩句數的比例~比例不能解釋諸葛亮聯想及作者心志。
2.4|自擬片段：故鄉啊，你可曾記得那個遠行的孩子？|這句最直接呈現哪種修辭特徵？|轉向故鄉直接傾訴|以「故鄉啊」「你」呼喚並向其說話，是呼物式呼告。|援引故鄉居民的說話~句中是敘述者向故鄉說話，沒有援引他人言論。|將故鄉與異地並列比較~未提供異地一方，沒有並列比較的內容。|以故鄉的部分代稱遊子~故鄉是傾訴對象，非用其部分特徵代稱遊子。
3.0|「浮雲遊子意，落日故人情。」|判斷這一聯構成對偶，哪項依據最充分？|兩句字數相等、結構相應、意思相關|浮雲對落日，遊子對故人，意對情；形式和意思共同構成對偶。|兩句句末字音相同、意思逐層加深~意與情並非同韻，兩句也未建立程度遞增。|兩句重複同一詞語、情緒前後相反~句中沒有重複同一詞語，意思相關不等於相反。|兩句使用相同喻詞、各寫不同時間~句中未用相同喻詞，時間不同也不是對偶條件。
3.1|「燕子去了，有再來的時候；楊柳枯了，有再青的時候；桃花謝了，有再開的時候。」|若判為排比，關鍵依據是甚麼？|三組結構相近的語句連續寫自然循環|三組句式、語氣相應，意思密切相關，形成排比。|三種景物按由小到大的次序排列~文中沒有建立大小的遞進尺度。|每一句的末詞接成下一句的首詞~「時候」沒有成為下句開首，不是頂真。|相同一句隔着其他段落再次出現~這裏是三組相近句式連續，不是整句間隔反復。
