# index|context reason|wrong~specific error|wrong~specific error|wrong~specific error
1|「安仁」與「利仁」對舉；前者行仁出於內在自覺，不以認識行仁好處作起點。|明白行仁有益，因而選擇行仁~這是相對的「利仁」，把兩種動機混同。|安居於樂境，才願持守仁德~安指安於仁，不是處境安樂才行仁。|習慣依眾人行為決定是否行仁~「安仁」著眼內在道德自覺，非隨眾取捨。
2|「知者」與「仁者」同為對人的稱呼，知通智，說其有智慧，能認識行仁之價值。|博聞，熟悉各種人物的身世~見聞豐富不等同此處智慧及對仁的認識。|知己，能理解仁者的朋友~「知者」不是以人際關係稱知己。|主持，掌管教化百姓的職務~原句沒有授職或掌管教化的意思。
3|「利仁」是認識仁的價值而行仁；不是把仁當作取得個人利益的工具，亦不等同安仁的內在安頓。|出於自然的道德安頓而行仁~這把利仁與安仁的動機混同。|計算個人所得，以仁換取名利~利仁肯定仁的價值，不能縮成利用仁謀私。|依靠外在督促，維持行仁習慣~句中重點是知者認識價值，不是受人監督。
4|「不以其道得之」中的道限定取得富貴的方法須正當，並非道路或敘說。|眾人慣常採用的辦法~習慣普遍不等於合乎道義。|君主發布的任免命令~句中沒有把取得方式限於任免程序。|自己預先安排的計劃~私人計劃不必然正當，道在此含義理判準。
5|「之」承接富貴，「不處」是對不義所得不接受享有，不是處理政事或居住地點。|取得、求取~「得之」已說取得，「處」進一步指接受享有。|安排、處置~不是如何管理富貴，而是是否接受。|停留、居住~此處的對象是富貴，不是居住處所。
6|「去仁」後接「惡乎成名」，說離棄仁德便不能成其君子之名。|遠離有仁德的人~去的對象是仁德，不是某個仁者。|退去行仁所得的名聲~原句區分仁德與君子之名，不能把兩者混作賓語。|消除行仁時面對的困難~「去」在此是離棄，非解決阻礙。
7|「無終食之間違仁」以吃一頓飯的時間極言短暫，說守仁不能稍離。|從開始求學到學成的日子~把極短時段擴大為求學歷程。|一日三餐全部結束的時候~終食是一頓飯，不是全日三餐。|停止進食後長久守候的時段~原句用進一餐的短時間，不含長久等待。
8|造次與顛沛並列，都是君子仍須守仁的處境；造次指倉卒匆忙。|冒失、輕率無禮~現代「不可造次」易令人誤讀；此處指倉卒情境。|出行、奔赴遠地~原句不是指定旅行活動。|初次、剛剛開始~不是把造與次拆作初次造作。
9|顛沛與造次同說不能離仁的艱難處境，指困頓失意、流離挫折。|急於求成、行事草率~把困苦遭際改成個人辦事態度。|受人責難、心中羞慚~責難羞慚是較窄且非字面所指。|反覆猶疑、難以決斷~顛沛不是意志不定或決策猶疑。
10|「克己」以己為約束對象，與復禮相連，指克制私欲使行為合禮。|戰勝、擊敗~不是戰勝對手，而是約束自身。|能夠、可以~這是克的另一常見義，但此處作及物動詞克制己。|嚴責、懲罰~自我約束不等於以處罰為意義核心。
11|「復禮」承接克己，指回復到言行合禮；禮是行為所歸，不是重做某場儀式。|恢復已經失去的社會地位~禮不是此處的官位財富。|重複前人做過的每一場儀式~把回復規範窄化成重演儀式。|報答別人給自己的禮遇~復不是報答，禮亦不是私人恩惠。
14|「為仁由己，而由人乎哉」以己和人對舉，問行仁依靠誰，故由解靠、憑藉。|任由、聽任~句中强调責任在自己，不是任憑私欲。|遵循、依照~「己」是行仁的主體，不是一套要遵循的規則。|起自、出發~不是由某地出發的空間用法。
16|「請事斯語」中的斯語指四勿教導；事後接言語，解實行奉行，而非侍奉人。|侍奉、服事~這義可見「事父母」，但這裏對象是教導。|管理、辦理~不是把教導當待管理的政務。|記載、敘述~顏淵表示願實踐，不只記下孔子的話。
17|「求生以害仁」說為求生而損及仁德；害後接仁，作損害解。|憂慮~不是對仁德感到擔憂。|危害之事~此處為動詞帶賓語，非名詞。|責難~不是責備仁德，而是行為損害仁德。
18|「殺身以成仁」把自身性命與仁德取捨相連，成仁是保全仁德，不違背道義。|犧牲自身，成全他人所求的利益~所保全的是仁德，不能把他人所求利益都等同仁。|成就名聲，讓世人承認自己仁厚~名聲可能隨之而來，但不是成仁的定義。|改正小過，避免損及自己的名望~句中取捨涉及生命與仁德，不是維護名望。
19|孔子隨後用生事、死葬、祭祀皆以禮解釋「無違」，所不可違的是禮。|不要違背父母的每一項意思~下文把規範落在禮，不等於父母任何要求均照辦。|不要改變家中一直沿用的習俗~舊習不必合禮，不能替代判準。|不要在父母在世時離家遠行~這是另一生活議題，不是此句所解三項禮的總義。
21|「生，事之以禮」的之指父母，事解侍奉；不可套用「事斯語」的實行義。|實行~「事斯語」以話為對象才解實行，此處對象是人。|辦理~此處說對父母的奉事，不是辦理政務。|從事~不是從事某種行業或活動。
22|犬馬亦能有養，孔子以敬指出人子對父母應有的尊重，區分情感態度與供養。|依禮安排日常供養~只落在外在安排，未點出尊重態度。|畏懼父母的責罰~敬不是出於害怕受罰。|稱讚父母的每一項決定~尊敬不等於對所有決定無條件贊同。
23|「何以別乎」把「以何」前置，問憑甚麼區分養父母與養犬馬。|因何，詢問區別的起因~原句問區分所憑依據，不是追溯原因。|如何，詢問供養的步驟~所問是「別」的依據，非照顧程序。|何者，詢問其中哪一類人~何不直接作哪個人的選擇詞。
24|幾諫指婉轉委婉地勸諫；仍然提出勸告，重點在方式而非是否說話。|反覆督促，務使父母立即接受~將輕微婉轉改成急迫督促。|直言責問，公開指出父母錯失~沒有婉轉含蓄的方式。|暫緩勸告，等父母自行醒悟~把委婉勸諫改成不提出勸告。
25|「見志不從，又敬不違」指意見未獲接納後仍保持尊敬，又有仍然之意。|再一次~不是計算第二次行敬的次數。|於是才~不是意見不被接納才開始尊敬。|另外~不是另加一位人物或另一件事。
27|知父母之年既喜且懼；喜其長壽，懼其漸老，兩情由年歲而生。|擔心勸諫不被父母接納~這是上一章可涉及的處境，不是此章年歲之懼。|擔心自己年歲漸長而未立業~句中所知所憂的是父母年齡。|擔心侍奉方式不合喪祭之禮~此章未以喪祭失禮為懼的直接原因。
29|「無友」中無通毋，用作禁戒的副詞，提醒交友的取捨。|無法，表示能力不足~此處是勸戒，不是說沒有交友能力。|未曾，表示過去沒有發生~句子提出行為原則，不是回述往事。|不必，表示沒有必要~不必比不要弱，且未切禁戒語氣。
30|「過則勿憚改」勸有過便改，不要因畏難或害怕而不改，憚解害怕。|怠慢~怕改與怠於改有不同心理，詞義不可混。|嫌惡~不是厭惡他人，而是自己畏於改過。|遲疑~可成為畏懼的表現，但不是憚的準確核心義。
31|與小人長戚戚對照，坦蕩蕩說君子胸襟與心境，不是住處寬闊。|行事任性，不受任何規範約束~胸襟坦然不等於任性失禮。|外表從容，刻意掩飾內心不安~原句直指坦然心境，沒有掩飾的意思。|處事豪爽，凡有請求都肯答允~爽快答允未必等於心胸坦蕩，且原句沒此條件。
32|「長戚戚」描寫小人經常憂惶不安，與坦蕩蕩的心境相對。|謹慎戒懼的樣子~不只是合宜審慎，而是常懷憂患不安。|羞慚自責的樣子~戚戚不限定因道德過失而慚愧。|冷淡疏離的樣子~不是描寫對他人的疏離態度。
33|「內省不疚」把反省自身與無愧相連，內省的對象是自己的言行。|反省他人對自己的看法~把自我檢察改成關注外評。|在心中推測別人的動機~不是揣度他人內心。|檢視自己是否得到足夠利益~自省連於無愧，並非核算所得。
36|「恥其言而過其行」以言過於行為可恥，恥在此是對某事感到羞恥的意動用法。|使他人的言行蒙受羞辱~改成使動且更換對象。|公開指責他人言過其行~重點是自身之恥，不是公開責人。|因說話不夠華麗而羞愧~所恥是言過於行，不是辭藻不足。
39|「孫以出之」的孫通遜，與義禮信共同構成君子實踐，指表達謙遜。|同「順」，一概順應他人意見~謙遜不等於放棄道義而盲從。|謹默，將道義藏起不肯表達~是以謙遜方式表達，非不表達。|遜位，把自己的職責交給他人~此處遜指態度，不是讓出職位。
40|「病無能，不病人之不己知」比較應憂與不應憂之事，病解擔憂。|患病~這裏的對象是能力與知遇，不是身體疾病。|責備~不是怪罪他人不賞識，而是說自己的憂慮。|使受害~此處不是使動的傷害義。
43|「謫守巴陵郡」把被貶與出任地方長官連說，守是官職相關的動詞。|守衛城池~可作一般守衛義，卻未反映此處被貶任官的語境。|留居不走~不是只描述停留地方。|遵守政令~此處後接郡名，非以政令為對象。
44|「百廢具興」中的具通俱，統攝各種荒廢事業，解全都。|備齊~把「具」當準備器具的動詞，與百廢興的結構不合。|詳細~不是詳盡列述的形容。|工具~不是用具名詞，而是修飾興的範圍副詞。
45|「增其舊制」指擴充岳陽樓原有規模，制不是刑制或制止動作。|制度~是常見名詞義，但此處對應重修樓宇的規模。|製作~把名詞用成製作動詞，不能解釋「增其舊制」。|約束~不是限制或節制某人的行為。
46|「屬予作文」以予為受命者、作文為所託之事，屬通囑，解囑託。|隸屬~隸屬不能解釋某人託予作記的施受關係。|連綴~連綴文字是另一語義，這裏後接受託者予。|類別~此處是動詞，不是種類的名詞。
47|「巴陵勝狀，在洞庭一湖」指當地美好景象，勝形容景色出眾。|有利的地勢~景色出眾不等於軍事上有利。|得勝的局勢~勝在此非戰勝，文章在總寫湖景。|超群的政績~前段政績不可移作「在洞庭一湖」的景觀所指。
48|浩浩湯湯連「吞長江，橫無際涯」，形容湖水聲勢浩大，非熱湯之湯。|水色清澈~與水勢大小不同，不能用透明度代替。|水流曲折~不是描寫河道走向。|水面深不可測~此詞著眼聲勢規模，不能等同深度。
51|「北通巫峽，南極瀟湘」兩動詞相對，極解到達，說湖水連接的地理範圍。|窮盡~「此樂何極」才是窮盡義，這裏以瀟湘作地點。|極點~此處作動詞，不是終點名詞。|非常~不是修飾形容詞的程度副詞。
52|遷客與騷人同為登樓者；遷客指因貶調而離開朝廷的官員。|因升遷到任的官員~此處遷含貶謫，不是因升官赴任。|奉命出使的使臣~不是外交出使身分。|辭官歸里的士人~貶調與自行辭官不同，不能混用。
