# e|p|correct paragraph understanding|three alternatives, each paired with a specific reason
2|1|魚與熊掌不可兼得取熊掌；生與義不可兼得取義，有時不為求生而失義。|生命既有價值，就必須不擇手段求生。~忽略義高於生的條件/所有禍患都必須主動迎上。~有所不辟不等於一概不避/孟子說生命從來不是自己想要的。~與生亦我所欲相反
2|2|若生命至上便會盡用求生手段，實際卻有所不為，說明人有高於生死的原則。|凡能求生的方法，人人必定都會使用。~原文說有不用/只有賢人有本心，別人不可能重義。~人皆有之否定此說/賢者能保持財富所以不怕死。~勿喪所指本心，不是財富
2|3|少量食物雖能救命，人仍拒受侮辱；有人卻不辨禮義而接受豐厚俸祿。|路人和乞人拒食是因為本來不餓。~得之則生弗得則死顯示生存壓力/萬鍾比一簞食少，故較值得接受。~反把分量和道德尺度混為一談/本文只批評幫助窮人這一行為。~問題在為利益不辨禮義受祿
2|4|昔日寧死不受，如今卻為物質或感激而接受，前後矛盾顯示本心喪失。|今昔都同樣堅持禮義，並無改變。~三組鄉今對舉明示改變/以前受祿，現在寧死拒絕。~倒轉今昔行為/孟子讚揚這種轉變為明智。~末句失其本心是批評
3|1|染料、冰及木金的改造說明後天學習的作用；廣學日省能使智慧通達、行為少失。|學習只增加天生能力，不能改變人。~喻例正說明加工與後天改變/木材曬乾便會恢復原直度。~原文不復挺/君子只須求學而不必反省。~日參省不可省略
3|2|借高度、風、車船可以擴大能力，君子成就在善借外物而非本性特異。|登高使人的手臂真的變長。~臂非加長明確否定/用船的人一定天生善泳。~非能水指出未必會游泳/思考完全無用，应永遠停止。~比較學思收穫不等於全盤否定思考
3|3|由小積大須持續不捨；即使條件較差，長久努力仍可有成。|駿馬一次跳躍就能抵十天行程。~不能十步，不是一次勝持續/雕刻堅硬材料必定無法成功。~鍥而不舍金石可鏤/只要天資好，便無須累積。~本文強調積累與不捨
3|4|蚯蚓形體條件不強卻能覓食，蟹具足螯卻需寄居；差別在專一與浮躁。|蚯蚓完全沒有爪牙或筋骨。~無爪牙之利否定鋒利而非所有器官/蟹因太專心所以不能自居。~蟹用心躁，非用心一/蚯蚓的食物只在地面，不飲地下水。~上食下飲兩者兼有
4|1|惠子因大瓠不能供通常盛水作瓢而毀它，莊子批評其不善用大並引出藥方故事。|莊子認為葫蘆太小才無用。~承認其大，爭的是用法/惠子把大瓠繫身浮水，獲莊子稱讚。~浮水是後文莊子建議，非已實行/宋人首先付百金買藥方。~出價的是來客，宋人持方
4|2|同一防裂藥，宋人用於漂洗所得少，客人用於冬季水戰而獲封地，效果因用法而異。|客人因藥性更強才獲封地。~能不龜手一也說功效相同/宋人先統軍戰勝越國。~统軍的是得方客人/吳王戰敗後把宋人流放。~原文大敗越人，客獲封賞
4|3|莊子建議大瓠繫作浮水工具，指出惠子受成見束縛而只憂其通常用途不合。|莊子要求把大瓠改成更小的飲杯。~建議腰舟浮江湖，非酒杯/莊子同意大瓠必須立即擊碎。~與新用途建議相反/蓬之心稱讚惠子思想廣闊。~指閉塞不通，屬批評
4|4|惠子用樗樹不合木工標準譏莊言，莊子以善捕小獸的狸狌仍陷機網回應。|惠子稱讚大樹最合所有木匠所需。~不中繩墨規矩且匠者不顧/狸狌雖無任何本領卻被捕。~前文寫靈活捕獵本領/所有有本領的動物都必然不受害。~中機辟死罔罟構成反例
4|5|巨大斄牛不能捕鼠，大樹卻可因不合器用免砍伐，供人自由休息。|斄牛因巨大所以最擅長捕鼠。~而不能執鼠不可漏/大樹必須製成家具才有價值。~莊子正突破單一器用標準/無用的大樹必然受斧斤砍伐。~不夭斤斧表相反結果
5|1|廉頗因破齊取城而受任上卿、以勇氣聞名；相如起初是繆賢門客。|廉頗起初是相如的門客。~人物身份倒置/相如因攻齊已先任上卿。~此段戰功與上卿屬廉頗/趙國在此戰被齊國攻陷。~原文廉頗大破齊取陽晉
5|2|秦以十五城求璧，趙送則恐被騙、不送又恐受攻；繆賢薦相如出使。|趙已取得十五城後才商量送璧。~秦僅提出交換，未交城/趙完全不擔心秦兵而拒絕商議。~即患秦兵之來/繆賢自請獨自出使，反對相如。~推薦的是臣舍人相如
5|3|繆賢曾想逃燕，相如指出燕王曾交好他，是因趙強且他受趙王寵信。|燕王因趙弱燕強而願結交繆賢。~國力比較倒置/相如鼓勵繆賢立即逃燕且保證收留。~相如止臣，後文分析將送回/燕王曾公開要求繆賢反叛趙王。~只有私握手願結友，不能擴寫反叛
5|4|相如料燕畏趙必綁還繆賢，勸其請罪得赦；面對換璧問題，又說秦強趙弱不可不許。|燕王必因私人友誼保護逃亡者。~相如判斷國勢壓過私交/繆賢依計請罪但必定被處死。~大王亦幸赦臣/相如主張毫無條件把璧永久交秦。~許交涉不等於放棄換城與保璧責任
5|5|答應交涉可使不交城的秦承擔理虧；相如承諾得城留璧、不得城完整還趙。|趙不給璧而秦給城，便由秦理虧。~倒置相如所論給與不給的責任/相如只承諾送璧，完全不管是否交城。~有明確兩種條件/趙王最後派廉頗持璧赴秦。~奉璧出使者為相如
5|6|秦王只顧傳璧給美人侍從，相如見其無意交城，借稱有瑕請指給秦王看。|秦王先割城並恭敬把璧退還。~沒有割城，相如還須設法取回/相如已證實璧破碎不能使用。~瑕是設法取璧的藉口，不是破碎/指示王是命令秦王立刻退位。~指示古義為指給王看
5|7|相如取璧後退倚柱，說明趙臣本疑秦恃強空言，而自己主張大國更應守信。|趙臣起初一致完全信任秦王。~皆曰秦貪負其強，顯示疑慮/相如認為平民須守信而大國可欺人。~況大國乎反問強化大國更應守信/相如立即將璧砸碎，已無轉圜。~此時持璧說理，尚未真的砸碎
5|8|趙齋戒送璧表示尊重，秦接待傲慢又無意交城；相如以頭璧俱碎抗逼迫。|相如因趙王輕慢秦而向秦謝罪。~相如強調趙誠意並指責秦失禮/秦已真心交城，相如仍無故毁約。~相如判其無意償城/頭璧俱碎只是描述已發生的死傷。~必欲急臣是條件，尚未成事
5|9|秦怕破璧而道歉指圖，相如仍判是假意給城，要求齋戒設九賓以爭取時間。|相如因秦指圖便確信交換完成。~度其特以詐，仍不信/相如要求秦只用普通禮節草率接待。~九賓與齋戒是隆重要求/趙王先前從未齋戒，完全沒有誠意。~原文趙王齋戒五日
5|10|秦允齋五日並安置相如；相如料秦仍違約，令從者穿粗衣藏璧循小路返趙。|相如親自懷璧逃回趙國。~懷璧送返的是從者，相如留秦/從者着華服公開大路展示玉璧。~衣褐懷璧徑道均為秘密安排/秦已交十五城，所以把璧送回。~相如認定不償城才送返
5|11|相如在秦廷說明怕被秦欺而辜負趙，故先遣人把璧從小路送回。|相如說趙國欺騙自己而辜負秦王。~被欺的施受者及負趙責任皆倒置/相如承認玉璧仍藏在自己身上。~故令人持璧歸已返趙/秦自繆公起一直嚴守盟約。~未嘗有堅明約束者明言相反
5|12|相如提出秦先割城則弱趙不敢留璧，自己願受刑，請秦君臣仔細權衡。|趙即使收到城也一定不交璧。~趙豈敢留璧反問否定/相如拒絕承認自己的任何責任。~主動說罪當誅並請就湯鑊/相如要求秦把趙王烹煮處死。~請就刑者是相如本人
5|13|秦王衡量殺使無益又傷邦交，終厚待遣返；趙升相如上大夫，城璧皆未交換。|秦王割地完成交換後遣返相如。~秦亦不以城予趙/趙王因失璧將相如處死。~璧已回趙，相如受任上大夫/秦王只因無法思考而任由臣下殺使。~秦王明確分析殺使無益並制止
5|14|完璧事件後秦攻取石城，翌年又攻趙殺二萬人。|秦伐趙一定是因璧事懷恨報復。~時間先後不足證明報復動機/明年指敘述者現在的下一年。~文言指前事的第二年/兩次都是趙先攻秦並獲全勝。~攻者與死者方向錯置
5|15|廉藺勸王赴澠池免示怯；廉頗提出三十日不還便立太子，防秦挾王。|廉頗認為不赴會最能顯示趙國強大。~王不行示趙弱且怯/太子已在出發當日登位。~只是逾期條件預案/相如留趙而廉頗獨自隨王赴會。~原文明言相如從、廉頗送至境
5|16|秦令趙王鼓瑟並記錄，相如要求秦王擊缻，以相對應的禮節挽回對等。|秦御史只是稱讚趙王技藝，沒有尊卑意味。~令字記錄企圖置趙於下/相如代秦王鼓瑟承認趙臣身份低下。~相如請秦王奏缻/秦王立即愉快答應而無須再請。~秦王怒不許
5|17|相如近身以死相逼、叱退侍從，秦王不快而擊缻；秦索趙城，相如以咸陽回敬。|秦左右當場已殺死相如。~皆靡指退卻/相如真將趙十五城送秦作壽禮。~以咸陽回敬，非實際交城/趙御史把秦王擊缻完全省略不記。~相如顧召御史書之
5|18|飲宴結束秦未能壓倒趙；趙亦大規模備兵，使秦不敢妄動。|外交全靠席上勇氣，毫無軍事配合。~趙亦盛設兵不可漏/本句明言廉頗駐守某個指定城門。~只有趙設兵，未點名統兵者駐地/秦已在宴會上奪取趙十五城。~終不能加勝於趙
5|19|相如因功居廉頗之上，廉因戰功出身而不服揚言羞辱；相如稱病避免爭位。|相如先揚言羞辱廉頗，廉頗避會。~兩人行動倒置/相如位次比廉頗低卻要求奪兵權。~位在廉頗之右，且無奪兵權情節/廉頗已明白先國後私而立即稱讚相如。~此時仍妒忌，轉變在後文
5|20|相如避車使門客誤以為他畏廉，欲辭去；相如挽留並問廉與秦王誰更可畏。|門客離去因相如曾對他們苛待。~原因是誤會相如恐懼失高義/相如承認廉頗比秦王更可怕。~先問比較，門客答不若也/親戚只指遠房親屬，必不包括父母。~古義為親人，含父母兄弟
5|21|相如不畏秦亦非畏廉，避鬥是保全趙國兩大力量；廉明白後負荊請罪。|秦不敢攻趙只因廉頗一人存在。~徒以吾兩人在也/相如把私人恩怨置於國家危急之前。~先國後私次序反轉/廉頗聞言更加報復，拒不認錯。~肉袒負荊到門謝罪
5|22|廉頗承認自己鄙陋、不知相如如此寬厚，兩人終相好成生死之交。|廉頗繼續斥責相如卑賤無知。~鄙賤之人是廉頗自責/刎頸之交指二人決意互相殺死。~指可同生共死的朋友/和好只是相如單方面願望，文中未成。~卒相與驩是敘明結果
